id,subject,treatment,fov,cell_type,roi_num,branch,spine,eventrate_pre,eventrate_post,amplitude_pre,amplitude_post,frequency_pre,frequency_post
3,Pons2-1,psilocybin,FOV2,PT,1,1,NaN,0.782579676,0.488903721,1.083140878,1.057761733,0.722509595,0.462205907
3,Pons2-1,psilocybin,FOV2,PT,11,2,NaN,1.151343234,0.704154847,1.142384106,1.044554455,1.007842483,0.674119806
3,Pons2-1,psilocybin,FOV2,PT,24,3,NaN,0.664108126,0.447188386,1.047368421,1.046875,0.634073085,0.427165026
3,Pons2-1,psilocybin,FOV2,PT,43,4,NaN,0.492240948,0.475554814,1.06884058,1.063432836,0.460537294,0.447188386
3,Pons2-1,psilocybin,FOV2,PT,61,5,NaN,1.191389955,0.747538795,1.186046512,1.191489362,1.004505256,0.627398632
3,Pons2-1,psilocybin,FOV2,PT,78,6,NaN,0.924411814,0.602369431,1.09270217,1.055555556,0.845986985,0.570665777
3,Pons2-1,psilocybin,FOV2,PT,91,7,NaN,1.36158852,0.979476055,1.089452603,1.071167883,1.249791423,0.914400133
3,Pons2-1,psilocybin,FOV2,PT,104,8,NaN,0.525613215,0.532287669,1.064189189,1.092465753,0.493909561,0.487235108
3,Pons2-1,psilocybin,FOV2,PT,126,9,NaN,0.644084766,0.68079426,1.11884058,1.105691057,0.575671617,0.615718338
3,Pons2-1,psilocybin,FOV2,PT,146,10,NaN,1.042883364,0.889370933,1.153136531,1.17920354,0.904388453,0.754213249
3,Pons2-1,saline,FOV1,PT,1,1,NaN,0.548973803,0.594026364,1.17921147,1.159609121,0.465543134,0.512264308
3,Pons2-1,saline,FOV1,PT,18,2,NaN,0.982813282,0.849324212,1.121904762,1.06263048,0.876022026,0.79926581
3,Pons2-1,saline,FOV1,PT,32,3,NaN,1.176372435,1.054563658,1.215517241,1.138738739,0.967795762,0.926080427
3,Pons2-1,saline,FOV1,PT,46,4,NaN,0.610712498,0.745870182,1.136645963,1.079710145,0.537293509,0.69080594
3,Pons2-1,saline,FOV1,PT,76,5,NaN,0.812614717,0.996162189,1.16507177,1.191616766,0.697480394,0.835975305
3,Pons2-1,saline,FOV1,PT,99,6,NaN,0.749207409,0.845986985,1.103194103,1.090322581,0.679125647,0.775905223
3,Pons2-1,saline,FOV1,PT,118,7,NaN,1.193058568,1.014516936,1.181818182,1.151515152,1.009511096,0.881027866
3,Pons2-1,saline,FOV1,PT,132,8,NaN,0.679125647,0.787585516,1.112021858,1.070294785,0.610712498,0.735858502
3,Pons2-1,saline,FOV2,PT,1,1,NaN,0.447188386,0.589020524,1.022900763,1.089506173,0.437176706,0.540630736
3,Pons2-1,saline,FOV2,PT,23,2,NaN,1.009511096,1.03620891,1.124535316,1.220039293,0.897714,0.849324212
3,Pons2-1,saline,FOV2,PT,44,3,NaN,0.397129985,0.388786918,1.081818182,1.044843049,0.367094944,0.372100784
3,Pons2-1,saline,FOV2,PT,81,4,NaN,0.774236609,0.90772568,1.221052632,1.198237885,0.634073085,0.757550476
3,Pons2-1,saline,FOV2,PT,98,5,NaN,0.957784081,1.163023527,1.173824131,1.150165017,0.815951944,1.01117971
3,Pons2-1,saline,FOV2,PT,117,6,NaN,1.019522777,1.082930085,1.21471173,1.144620811,0.839312531,0.946103788
3,Pons2-1,saline,FOV2,PT,128,7,NaN,0.55231103,0.413816119,1.173758865,1.068965517,0.470548974,0.387118305
3,Pons2-1,saline,FOV2,PT,148,8,NaN,0.797597197,1.097947606,1.059866962,1.078688525,0.752544635,1.017854163
3,Pons2-1,saline,FOV2,PT,161,9,NaN,0.961121308,0.886033706,1.118446602,1.083673469,0.859335892,0.817620557
